model,dataset,fpr,tpr,threshold
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.09845449341728678,0.28989751098096633,0.4987935446783162
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.09902690326273612,0.28989751098096633,0.4985431821979095
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.09959931310818546,0.2913616398243045,0.4984918393574141
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.09959931310818546,0.29428989751098095,0.4976571000828316
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10074413279908415,0.29428989751098095,0.4965602818597099
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10074413279908415,0.2957540263543192,0.4963308617845863
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10131654264453349,0.2957540263543192,0.4961314536983082
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10131654264453349,0.2972181551976574,0.4955052320561148
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10188895248998282,0.2972181551976574,0.495400385071485
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10188895248998282,0.2986822840409956,0.4947596667057299
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10246136233543217,0.2986822840409956,0.4947555854070545
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10360618202633086,0.2986822840409956,0.4946041547380633
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10475100171722954,0.2986822840409956,0.4930786809576971
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10475100171722954,0.3001464128843338,0.4929360529204479
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10532341156267888,0.3001464128843338,0.4928433550734622
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10532341156267888,0.30161054172767204,0.4924835604247153
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10589582140812821,0.30161054172767204,0.4919370329652824
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10589582140812821,0.30307467057101023,0.4906270063689045
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10646823125357756,0.30307467057101023,0.4902196082695662
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10818546078992558,0.30307467057101023,0.489900040065491
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10875787063537493,0.30453879941434847,0.4898959599842853
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10933028048082427,0.30453879941434847,0.4895780584929829
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10990269032627362,0.30600292825768666,0.4891040812083776
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.10990269032627362,0.3074670571010249,0.4888838232130296
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11047510017172295,0.3074670571010249,0.4883971659882909
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11047510017172295,0.3089311859443631,0.4881415914559324
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11161991986262164,0.3089311859443631,0.4871237598061055
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11276473955352032,0.3089311859443631,0.4858632291560346
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11276473955352032,0.3118594436310395,0.4835105933321649
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.113909559244419,0.3118594436310395,0.4832393048215946
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11448196908986835,0.3118594436310395,0.4828706229263719
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11448196908986835,0.31332357247437775,0.482688534740569
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11505437893531768,0.31332357247437775,0.4825431407218832
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11677160847166572,0.31478770131771594,0.4824439326965432
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11734401831711505,0.31478770131771594,0.482223843023245
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.11848883800801374,0.32210834553440704,0.4820752915315828
